record_id,canonical_id,source,provenance_sources,source_record_id,doi,pmid,pmcid,title,abstract,year,publication_date,document_type,language,url,is_preprint,duplicate_count,query_branches,local_multiomics_match,local_aging_match,local_causal_anchor_match,local_three_block_match
doi:10.1002/advs.202416427,doi:10.1002/advs.202416427,europepmc,europepmc;pubmed;scopus;semantic_scholar,MED:40611525,10.1002/advs.202416427,40611525,PMC12462932,Alistipes senegalensis is Critically Involved in Gut Barrier Repair Mediated by Panax Ginseng Neutral Polysaccharides in Aged Mice.,"Ginseng polysaccharides (GPs) are known to have beneficial effects on the gut epithelium and age-related systemic-inflammation through regulation of gut microbiota. However, the underlying pathways and key members of the microbial community involved in this process are poorly understood. In this study, administration of ginseng neutral polysaccharide (GPN) is found to alleviate gut leak and low-grade inflammation, concomitantly with improving the physiological function aged mice. Fecal microbiota transplantation and fecal conditioned medium are used to assess the specific involvement of gut bacterial metabolites in the effects of GPNs. Comprehensive multi-omics analyses showed that GPN significantly enriched the abundance of Alistipes senegalensis, an indole-producing commensal bacterium. Increased expression of tight junction-associated proteins, as well as activation of gut stem cells, are found to be mediated by the AhR pathway, indicating the causal mechanism by which GPN reduced increases in gut permeability. The results are verified in Caco-2/THP-1 cells, Caenorhabditis elegans, and enteroids. To the knowledge, this is the first identification of an integral functional axis through which GPN and functional metabolites of A. senegalensis influence the gut barrier and reduce systemic inflammation, providing clues for the potential development of innovative plant polysaccharide treatment strategies to promote healthy aging.",2025,2025-07-03,research-article; Journal Article,eng,https://europepmc.org/article/MED/40611525,False,3,,True,True,True,True
doi:10.1002/gepi.22084,doi:10.1002/gepi.22084,openalex,europepmc;openalex;pubmed;scopus,https://openalex.org/W2766173132,10.1002/gepi.22084,,,Testing for the indirect effect under the null for genome‐wide mediation analyses,"Abstract Mediation analysis helps researchers assess whether part or all of an exposure's effect on an outcome is due to an intermediate variable. The indirect effect can help in designing interventions on the mediator as opposed to the exposure and better understanding the outcome's mechanisms. Mediation analysis has seen increased use in genome‐wide epidemiological studies to test for an exposure of interest being mediated through a genomic measure such as gene expression or DNA methylation (DNAm). Testing for the indirect effect is challenged by the fact that the null hypothesis is composite. We examined the performance of commonly used mediation testing methods for the indirect effect in genome‐wide mediation studies. When there is no association between the exposure and the mediator and no association between the mediator and the outcome, we show that these common tests are overly conservative. This is a case that will arise frequently in genome‐wide mediation studies. Caution is hence needed when applying the commonly used mediation tests in genome‐wide mediation studies. We evaluated the performance of these methods using simulation studies, and performed an epigenome‐wide mediation association study in the Normative Aging Study, analyzing DNAm as a mediator of the effect of pack‐years on FEV 1 .",2017,2017-10-29,article,en,https://openalex.org/W2766173132,False,3,genomics_plus_other,True,True,True,True
doi:10.1002/ygh2.341,doi:10.1002/ygh2.341,semantic_scholar,semantic_scholar,27159eb99d04c9675bc8809a2a1e9f5db4d11e4b,10.1002/ygh2.341,,,Letter: management of patients with chronic hepatitis C failing repeated courses of interferon‐free DAA combination therapy: a translational research perspective with clinical impact,"EDITORS, Chronic hepatitis C and interrelated hepatic disorders are emerg‐ ing as major public health challenges with significant financial/ psychosocial distress amongst disease‐susceptible population subsets of varying lifestyles/ethnicities; cost‐effective prevention strategies are warranted to precisely dissect the aetiopathogen‐ esis of viral hepatitis/virulence/immunogenicity/subsequent re‐ currence/relapse following single and/or combinatorial treatment modalities/therapies. The recently published study by Kozbial et al in the reputed GastroHep journal critically investigated the clin‐ ical management of chronic hepatitis C patients failing repeated courses of interferon (IFN)‐free DAA combination therapy1; the study was well‐designed with stringent inclusion/exclusion crite‐ ria and core tenets of good clinical practice/bioethics/scientific integrity were followed; briefly, 102 patients completed robust DAA retreatment regimen after repeated virological failures to IFN‐free DAA therapy with a follow‐up of 12 months. With my extensive biomedical/epidemiological research experiences in‐ volving American/Asian Indian patient cohorts, I would like to add that larger sample size would have significantly enhanced overall study power/≥ 80% with relatively lower selection bias/ false positives. Ethnicity is a significant predictor of intra‐indi‐ vidual variability in susceptibility to gastrointestinal/liver dis‐ eases1,2; in this context, incorporating a larger number of patients and age‐matched, disease‐free/healthy controls from random population(s) with subgroup stratification of responders (high/ moderate/poor) vs nonresponders to IFN‐DAA combination therapy would lead to more definitive conclusions; relevant ad‐ justment of potential confounders in retreated chronic hepatitis C patients with age/gender/body mass index‐based subgroup stratification of patient subsets along with systemic/local ad‐ verse effects (diarrhoea/gastrointestinal bleeding/fatigue/numb‐ ness/neuropathy) would provide better insights. Interestingly, 20.6% of patients (mean age 50.0 ± 10.6 years, 18 male/3 female) relapsed after retreatment: (GT1a:8/GT1b:4/GT1c:1/GT3a:7/ GT4:1/cirrhosis:15, and resistance‐associated substitutions (RAS):17/19 with clinically reported patient relapse after:SOF/ SMV:2/3D ± RBV:4/SOF/DCV ± RBV:4/SOF/LDV ± RBV:6/SOF/ VEL:3/SOF/VEL/VOX:1/EBV/GZV:1), thereby highlighting the complex genetic intra‐individual variability to treatment‐related response rates following combinatorial therapy. Electronic health records may be reassessed by the treating physician/clinical re‐ searcher for re‐evaluations of responders (high/moderate/poor)/ nonresponders, thereby predicting better treatment outcomes; tapering the dosing based on age/gender/BMI/concurrent usage of nonsteroidal anti‐inflammatory drugs (COX‐2 inhibitor/Vioxx) at follow‐ups may yield higher therapeutic efficacy with lower recurrence rates/adverse effects, ensuring increased adherence to combinatorial IFN‐free DAA treatment regimens, eventually leading to higher patient satisfaction rates. The findings demonstrated that 17/21 patients completed third DAA therapy: 13 achieved SVR12, three relapsed (cirrhosis:2/SOF/ VEL/RBV:GT3a/SOF/LDV/RBV:GT1a/ EBV/GZV/SOF/RBV:GT1b) while one patient was lost to follow‐up; cirrhotic subgroup data set revealed that one (GT1a/cirrhosis) achieved SVR12 after third re‐therapy with 24 weeks of 3D/SOF/RBV, while one (GT3a/cirrho‐ sis) achieved SVR4 after 24 weeks of glecaprevir/pibrentasvir, but succumbed soon. Furthermore, 95/102 (93.1%) patients achieved SVR12 after ≥1 retreatments; gender, cirrhosis, genotype, RAS or baseline viral loads/cut‐offs were not significantly associated with retreatment failure(s), and 13.7% of patients required multiple retreatments. Family‐based/twin/epidemiological gene polymorphism stud‐ ies with multicentric pooled patient populations of diverse eth‐ nicities utilising high‐throughput pharmacogenetics/genomics/ transcriptomics/metabolomics/electrophysiological/immunodi‐ agnostic imaging modalities coupled with survival analyses and stringent surveillance for relapse(s)/adverse effects are war‐ ranted to provide a better understanding of the relapse trends and response rates amongst genetically disparate populations fol‐ lowing IFN‐free DAA therapy treatment regimens. A global cost‐ effective public health research model needs to be developed with urgent allocation of financial grants/funds for propelling gastro/hepatic research for diminishing the increasing burden of morbidities/mortalities in chronic hepatitis C‐susceptible popula‐ tions worldwide.",2019,2019-05-01,,,https://www.semanticscholar.org/paper/27159eb99d04c9675bc8809a2a1e9f5db4d11e4b,False,0,,True,False,False,False
doi:10.1007/s11033-026-11994-6,doi:10.1007/s11033-026-11994-6,europepmc,europepmc;pubmed;scopus,MED:42189329,10.1007/s11033-026-11994-6,42189329,,AUF1 modulates cellular senescence in auditory hair cells by regulating the transcription and alternative splicing of immune response genes.,"Purpose This study aims to investigate the role of AU-rich element RNA-binding factor 1 (AUF1) in regulating inflammatory responses and senescence processes within auditory hair cells. Methods RNA sequencing was employed to assess transcriptome-wide expression levels and alternative splicing patterns in HEI-OC1 cells treated with AUF1 siRNA (siAUF1) compared to control cells. Three biological replicates per group were prepared, and raw FASTQ reads were aligned to the Mus musculus reference genome (GRCm39/mm39) using the splice-aware STAR aligner. Comprehensive integration was conducted with previously published transcriptomic data and AUF1-RNA interactome datasets. Western blotting was employed to assess RBMS3 protein levels after AUF1 knockdown. The effect of AUF1 on cellular senescence was validated using senescence-associated β-galactosidase staining, and was further corroborated by RT-qPCR quantification of canonical senescence markers (p16, p21, Lamin B1) together with ELISA-based measurement of the core SASP cytokines IL-6 and IL-1β. AUF1-regulated alternative splicing events on FASTK, MAP4 and HNRNPDL were validated by semi-quantitative RT-PCR, and the AUF1-RBMS3 regulatory axis was interrogated by combined siRNA knockdown rescue experiments. Results Knockdown of AUF1 using siRNA induced apoptosis in HEI-OC1 cells. RNA sequencing revealed that AUF1 depletion extensively modulated the expression of numerous genes. The downregulated genes following AUF1 depletion via siRNA were significantly overrepresented in biological pathways governing immune system functions and programmed cell death (apoptosis). Furthermore, AUF1 was found to modulate the alternative splicing patterns of specific genes, including FASTK, MAP4, and hnRNP DL, and these splicing events were verified by RT-PCR. Additionally, published transcriptomic datasets from aged mice showed elevated expression of AUF1 and immune response-related genes. Furthermore, RBMS3 was identified as a gene associated with AUF1 knockdown, potentially contributing to AUF1-dependent regulation of apoptosis, and concurrent silencing of RBMS3 partially attenuated AUF1-knockdown-induced apoptosis. AUF1 silencing also blunted the D-galactose-induced upregulation of p16/p21 transcripts and the secretion of IL-6/IL-1β, supporting an AUF1-dependent contribution to senescence in auditory hair cells. Conclusion AUF1 regulates immune response, apoptosis, alternative splicing, and the aging process in auditory hair cells.",2026,2026-05-26,Journal Article,eng,https://europepmc.org/article/MED/42189329,False,2,,True,True,True,True
doi:10.1016/0921-8734(89)90022-2,doi:10.1016/0921-8734(89)90022-2,pubmed,pubmed,2927416,10.1016/0921-8734(89)90022-2,2927416,,"Effect of age on endogenous DNA single-strand breakage, strand break induction and repair in the adult housefly, Musca domestica.","It has been suggested that genomic alterations involving DNA damage and the ability to repair such damage play an important role in cellular senescence. In this study, endogenous DNA single-strand breaks, the susceptibility of DNA to induced strand breakage and the capacity to repair these breaks were compared in postmitotic cells from young (3-day-old) and old (23-day-old) houseflies. DNA single-strand breaks did not accumulate during normal aging in the housefly. However, cells of the old flies exhibited a greater sensitivity to single-strand breakage induced by gamma-radiation and UV light. The capacity to repair these exogenously induced single-strand breaks declined with age. Results do not support the view that DNA single-strand breaks are a causal factor in aging in the housefly. An age-related increase in the susceptibility to undergo single-strand breakage suggests alterations in chromatin during the aging process.",1989,1989-03-01,"Journal Article; Research Support, Non-U.S. Gov't",eng,https://pubmed.ncbi.nlm.nih.gov/2927416/,False,0,,True,True,True,True
doi:10.1016/j.biopsych.2023.10.023,doi:10.1016/j.biopsych.2023.10.023,europepmc,europepmc;pubmed;scopus,MED:37924924,10.1016/j.biopsych.2023.10.023,37924924,PMC11063120,Accelerated Pace of Aging in Schizophrenia: Five Case-Control Studies.,"Background Schizophrenia is associated with increased risk of developing multiple aging-related diseases, including metabolic, respiratory, and cardiovascular diseases, and Alzheimer's and related dementias, leading to the hypothesis that schizophrenia is accompanied by accelerated biological aging. This has been difficult to test because there is no widely accepted measure of biological aging. Epigenetic clocks are promising algorithms that are used to calculate biological age on the basis of information from combined cytosine-phosphate-guanine sites (CpGs) across the genome, but they have yielded inconsistent and often negative results about the association between schizophrenia and accelerated aging. Here, we tested the schizophrenia-aging hypothesis using a DNA methylation measure that is uniquely designed to predict an individual's rate of aging. Methods We brought together 5 case-control datasets to calculate DunedinPACE (Pace of Aging Calculated from the Epigenome), a new measure trained on longitudinal data to detect differences between people in their pace of aging over time. Data were available from 1812 psychosis cases (schizophrenia or first-episode psychosis) and 1753 controls. Mean chronological age was 38.9 (SD = 13.6) years. Results We observed consistent associations across datasets between schizophrenia and accelerated aging as measured by DunedinPACE. These associations were not attributable to tobacco smoking or clozapine medication. Conclusions Schizophrenia is accompanied by accelerated biological aging by midlife. This may explain the wide-ranging risk among people with schizophrenia for developing multiple different age-related physical diseases, including metabolic, respiratory, and cardiovascular diseases, and dementia. Measures of biological aging could prove valuable for assessing patients' risk for physical and cognitive decline and for evaluating intervention effectiveness.",2024,2023-11-02,research-article; Journal Article,eng,https://europepmc.org/article/MED/37924924,False,2,,True,True,True,True
doi:10.1016/j.dnarep.2023.103572,doi:10.1016/j.dnarep.2023.103572,pubmed,pubmed;scopus,37742405,10.1016/j.dnarep.2023.103572,37742405,,Alteration in the chromatin landscape during the DNA damage response: Continuous rotation of the gear driving cellular senescence and aging.,"The DNA damage response (DDR) is a crucial biological mechanism for maintaining cellular homeostasis in living organisms. This complex process involves a cascade of signaling pathways that orchestrate the sensing and processing of DNA lesions. Perturbations in this process may cause DNA repair failure, genomic instability, and irreversible cell cycle arrest, known as cellular senescence, potentially culminating in tumorigenesis. Persistent DDR exerts continuous and cumulative pressure on global chromatin dynamics, resulting in altered chromatin structure and perturbed epigenetic regulations, which are highly associated with cellular senescence and aging. Sustained DDR activation and heterochromatin changes further promote senescence-associated secretory phenotype (SASP), which is responsible for aging-related diseases and cancer development. In this review, we discuss the diverse mechanisms by which DDR leads to cellular senescence and triggers SASP, together with the evidence for DDR-induced chromatin remodeling and epigenetic regulation in relation to aging.",2023,2023-09-17,"Review; Journal Article; Research Support, Non-U.S. Gov't",eng,https://pubmed.ncbi.nlm.nih.gov/37742405/,False,1,,True,True,True,True
doi:10.1016/j.freeradbiomed.2026.06.049,doi:10.1016/j.freeradbiomed.2026.06.049,semantic_scholar,semantic_scholar,e4534dece41273be3a21b8ef8c667bcf502a1b47,10.1016/j.freeradbiomed.2026.06.049,42385799,,Ultraviolet B-induced oxidative stress drives stromal remodeling and malignant transformation of actinic keratosis via a podoplanin-C-type lectin-like receptor 2 signaling axis.,"Ultraviolet B (UVB) radiation induces oxidative stress and promotes photocarcinogenesis; however, the molecular mechanisms linking oxidative stress to the malignant transformation of actinic keratosis (AK) remain incompletely understood. Here, we performed an integrative multi-omics analysis of six independent cohorts combining bulk RNA sequencing, single-cell transcriptomics, functional experiments, and clinical validation. UVB irradiation induced oxidative stress and significantly increased podoplanin (PDPN) expression in keratinocytes in a dose-dependent manner. Mechanistically, keratinocyte-derived PDPN interacted with C-type lectin-like receptor 2 (CLEC-2) on fibroblasts through its platelet aggregation-stimulating (PLAG) domain, triggering fibroblast senescence and the senescence-associated secretory phenotype (SASP), characterized by enhanced secretion of matrix metalloproteinase-1 (MMP-1) and interleukin-6 (IL-6). Single-cell transcriptomic analysis identified 272 epithelial-specific hub genes converging on PDPN-centered regulatory networks, and a 12-gene signature demonstrated strong diagnostic performance and prognostic value. Functional studies showed that PDPN silencing markedly attenuated UVB-induced cell migration and SASP activation, whereas deletion of the PLAG domain abolished PDPN-CLEC-2 interaction. Analysis of human specimens further demonstrated progressive upregulation of PDPN and CLEC-2 expression during the transition from normal skin to AK and cutaneous squamous cell carcinoma (cSCC). Collectively, our findings identify a PDPN-CLEC-2-mediated stromal remodeling program that links UVB-induced oxidative stress to malignant transformation in AK and highlight this signaling axis as a potential therapeutic target for photochemoprevention.",2026,2026-07-01,JournalArticle,,https://www.semanticscholar.org/paper/e4534dece41273be3a21b8ef8c667bcf502a1b47,False,0,,True,False,True,False
doi:10.1016/j.jchromb.2021.122863,doi:10.1016/j.jchromb.2021.122863,europepmc,europepmc;pubmed;scopus,MED:34325308,10.1016/j.jchromb.2021.122863,34325308,,Distinct metabolic alterations in different Caenorhabditis elegans mitochondrial mutants.,"Mitochondria play an essential role in various biochemical processes that maintain cellular homeostasis. Minor defects in the mitochondrial genome can lead to aversive behavioral responses in an organism. Nevertheless, little is known about the impact of mitochondrial mutations on the metabolome of Caenorhabditis elegans (C. elegans). In this study, an untargeted metabolomics approach was employed to elucidate the metabolic aberrant caused by mitochondrial DNA mutations in C. elegans. Specifically, three mutant strains of C. elegans, including clk-1, mev-1, and phb-2, were adopted to study corresponding metabolic signatures. Adult worms were collected, and metabolites were extracted and analyzed by gas chromatography-mass spectrometry. Uni- and multivariate analyses were performed to elucidate perturbed metabolism between wildtype worms and mutant strains, and metabolic differences among the mutants. The tricarboxylic acid cycle intermediates, amino acids, and sugars were significantly affected in the mitochondrial mutants. Overall, each mitochondrial DNA mutation exhibited a different pattern of metabolic alterations. The shift of metabolome appeared to be associated with the lifespan of C. elegans. In particular, clk-1 and mev-1 strains, which had the opposite phenotypes of lifespan, had apparently different metabolomes. Our findings set light on the metabolic consequences of mitochondrial genetic variants, which may help better understand mitochondrial disease mechanisms.",2021,2021-07-20,Journal Article,eng,https://europepmc.org/article/MED/34325308,False,2,,True,True,True,True
doi:10.1016/j.metabol.2022.155268,doi:10.1016/j.metabol.2022.155268,semantic_scholar,semantic_scholar,5fd2dc78f5755c30b4354f369a549757e73fdb86,10.1016/j.metabol.2022.155268,35908579,,Exercise timing influences multi-tissue metabolome and skeletal muscle proteome profiles in type 2 diabetic patients - A randomized crossover trial.,"AIMS/HYPOTHESIS Metabolic effects of exercise may partly depend on the time-of-day when exercise is performed. We tested the hypothesis that exercise timing affects the adaptations in multi-tissue metabolome and skeletal muscle proteome profiles in men with type 2 diabetes. METHODS Men fitting the inclusion (type 2 diabetes, age 45-68 years and body mass index 23-33 kg/m2) and exclusion criteria (insulin treatment, smoking, concurrent systemic disease, and regular exercise training) were included in a randomized crossover trial (n = 15). Participants included in this metabolomics and proteomics analysis fully completed all exercise sessions (n = 8). The trial consisted of two weeks of high-intensity interval training (HIT) (three sessions/week) either in the morning (08:00, n = 5) or afternoon (16:45, n = 3), a two-week wash-out period, and an additional two weeks of HIT at the opposing time. Participants and researchers were not blinded to group allocation. Blood, skeletal muscle and subcutaneous adipose tissue were obtained before the first, and after each training period. Broad-spectrum, untargeted proteomic analysis was performed on skeletal muscle, and metabolomic analysis was performed on all biosamples. Differential content was assessed by linear regression and pathway set enrichment analyses were performed. Coordinated metabolic changes across tissues were identified by Spearman correlation analysis. RESULTS Metabolic and proteomic profiles remained stable after two weeks of HIT, and individual metabolites and proteins were not altered, irrespective of the time of day at which the training was performed. However, coordinated changes in relevant metabolic pathways and protein categories were identified. Morning and afternoon HIT similarly increased plasma diacylglycerols, skeletal muscle acyl-carnitines, and subcutaneous adipose tissue sphingomyelins and lysophospholipids. Acyl-carnitines were central to training-induced metabolic cross-talk across tissues. Plasma carbohydrates, via the penthose phosphate pathway, were increased and skeletal muscle lipids were decreased after morning compared to afternoon HIT. Skeletal muscle lipoproteins were higher, and mitochondrial complex III abundance was lower after morning compared to afternoon HIT. CONCLUSIONS/INTERPRETATION We provide a comprehensive analysis of a multi-tissue metabolomic and skeletal muscle proteomic responses to training at different times of the day in men with type 2 diabetes. Increased circulating lipids and changes in adipose tissue lipid composition were common between morning and afternoon HIT. However, afternoon HIT increased skeletal muscle lipids and mitochondrial content to a greater degree than morning training. Thus, there is a diurnal component in the metabolomic and proteomic response to exercise in men with type 2 diabetes. The clinical relevance of this response warrants further investigation.",2022,2022-07-01,JournalArticle,,https://www.semanticscholar.org/paper/5fd2dc78f5755c30b4354f369a549757e73fdb86,False,0,,True,False,False,False
