record_id,source,title,abstract,year,document_type,doi,proposed_design_family
doi:10.1007/s10522-026-10475-4,europepmc,Genetic evidence links hypertension to accelerated brain aging.,"Hypertension affects one-third of adults and is a major comorbidity of neurocognitive disorders. The causal relationship, shared genetic architecture, and upstream mechanisms linking hypertension to brain aging remain unclear. Hypertension GWAS datasets from MVP and FinnGen R12 were meta-analyzed as the exposure, and a European-ancestry brain age gap (BAG) GWAS derived from the UK Biobank and LIFE-Adult cohorts was used as the outcome. MR and GSMR assessed causality. LDSC, HDL, and S-LDSC estimated genetic correlation. Four TWAS methods (MAGMA, FUSION, JTI-PrediXcan, FOCUS) mapped associations to genes, followed by SMR for causal validation and PoPS for prioritization. GSMAP with spatial transcriptomics characterized regional and cell-type enrichment. Hypertension and brain aging were genetically correlated, and MR and GSMR analyses suggested a causal effect of hypertension on increased brain age gap. TWAS identified 15 shared Hypertension-BAG genes, 10 supported by SMR. PoPS prioritized TRIM47 as the core gene. Shared signals were enriched in meninges, fiber tracts, cortical layer 1, and CA1 stratum lacunosum/radiatum, with cell-type enrichment in meninges, smooth muscle cells, oligodendrocytes, and astrocyte subtypes. Hypertension is genetically correlated with, and shows evidence of a causal effect on, accelerated brain aging. TRIM47 is a core gene bridging hypertension and BAG. GSMAP-based spatial enrichment provides a hypothesis-generating framework for understanding vascular, meningeal, and myelin-related pathways linking hypertension to increased brain age gap.",2026,Journal Article,10.1007/s10522-026-10475-4,genetic_instrument
doi:10.1016/j.exger.2025.113017,pubmed,Bidirectional associations between metabolic syndrome and epigenetic age acceleration: A 20-year longitudinal study in midlife adults.,"Metabolic syndrome (MetS) increases with age. Epigenetic alterations reflect lifelong biological and environmental influences on aging. MetS may contribute to epigenetic age acceleration (EAA) through inflammation and oxidative stress, while elevated EAA may, in turn, exacerbate metabolic dysfunction, but long-term evidence for this bidirectional association is limited. We analyzed data from 1452 participants in the Korean Genome and Epidemiology Study at baseline (Wave 1), 10-year (Wave 5), and 20-year (Wave 10) follow-ups. MetS severity was defined by the number of diagnostic criteria, and DNA methylation-based EAA measures (PhenoAA, Grim2AA, DunedinPACE) at Wave 5 were included. Multivariable linear regression models examined the association between MetS and EAA both cross-sectionally (at Wave 5) and longitudinally (Wave 1 MetS - Wave 5 EAA and Wave 5 EAA - Wave 10 MetS). Mediation analysis examined whether EAA mediated the association between MetS severity across waves. All models were adjusted for chronological age, sex, smoking, drinking, physical activity, education, income, and body mass index. Cross-sectionally, all EAA measures were associated with higher MetS severity score (β ranged 0.37-1.26, all P < 0.05). Longitudinally, earlier MetS severity was associated with EAA (Grim2AA: β = 0.25; DunedinPACE: β = 0.78, all P < 0.05) and EAA was associated with later MetS severity (Grim2AA: β = 0.03; DunedinPACE: β = 0.01, all P < 0.05). EAA partially mediated the association between earlier and later MetS severity (1.6-3.1 % mediation proportion, P < 0.05). Our findings suggest a bidirectional relationship between MetS and EAA, with biological aging potentially mediating metabolic deterioration. EAA may serve as both a marker and mediator of metabolic health, and a promising target for prevention and intervention.",2025,Journal Article,10.1016/j.exger.2025.113017,formal_mediation
doi:10.1038/s41380-026-03735-9,springernature,Shared genetic architecture of schizophrenia and Alzheimer’s disease and related dementias implicates 16p11.2 and lifespan brain vulnerability,"Epidemiological and clinical observations linking schizophrenia (SCZ) to increased dementia risk, together with the occurrence of psychosis in Alzheimer’s disease and related dementias (ADRD), suggest that shared genetic liabilities may contribute to their co-occurrence. Leveraging large-scale genome-wide association study summary statistics for SCZ (53,386 cases and 77,258 controls) and ADRD (111,326 cases and 677,663 controls), we systematically investigated their shared genetic architecture and potential biological mechanisms. We identified three significant local genetic correlations ( P < 2.0 × 10⁻⁵) and cross-trait polygenic enrichment between SCZ and ADRD, with 39 genomic loci jointly associated at conjunctional false discovery rate (conjFDR) < 0.05. Fifteen high-confidence genes ( CNIH4 , CD302 , PCGF3 , TFR2 , EPHX2 , SNX32 , EFEMP2 , CTSW , ASPHD1 , TAOK2 , INO80E , DOC2A , MAPK3 , KANSL1 , and XPNPEP3 ) were consistently prioritized across positional, expression quantitative trait locus, and chromatin-interaction mapping. Tissue- and cell-type enrichment analyses highlighted cerebellar tissues and ependymal-cell-related signals, while pathway analyses implicated synaptic signaling, axonal growth, and presynaptic structural organization. At the locus level, colocalization and transcriptome-wide association analyses converged on 16p11.2, prioritizing INO80E, YPEL3, SLX1B, and TMEM219. Developmental trajectory modeling further revealed region- and stage-specific expression divergence of prioritized 16p11.2 genes, with prominent differences spanning childhood and adulthood. Brain-wide association analysis linked the 16p11.2 lead variant rs9932702 to cortical gray-white contrast (β = −0.062, P = 7.5 × 10⁻¹⁵), a neuroimaging phenotype related to gray-white boundary microstructure and myelination. Finally, bidirectional Mendelian randomization supported a modest directional association between genetic liability to SCZ and increased ADRD risk, but not the reverse direction. Collectively, these findings provide convergent genetic, regulatory, transcriptomic, developmental, and imaging evidence for partial shared liability between SCZ and ADRD, highlighting 16p11.2 and biological processes related to neurodevelopment, synaptic and axonal organization, myelination-related microstructure, and later-life brain vulnerability.",2026,OriginalPaper; Article,10.1038/s41380-026-03735-9,genetic_instrument
doi:10.1038/s41591-025-03999-8,semantic_scholar,MRI-based multi-organ clocks for healthy aging and disease assessment,"Biological aging clocks across organ systems and tissues have advanced understanding of human aging and disease. In this study, we expand this framework to develop seven magnetic resonance imaging-based multi-organ biological age gaps (MRIBAGs), including the brain, heart, liver, adipose tissue, spleen, kidney and pancreas. Using data from 313,645 individuals curated by the MULTI Consortium, we link the seven MRIBAGs to 2,923 plasma proteins, 327 metabolites and 6,477,810 common genetic variants. Genome-wide associations identify 53 MRIBAG−locus pairs (P < 5 × 10−8). Genetic correlation and Mendelian randomization analyses support organ-specific and cross-organ interconnection, including 24 non-MRI biological aging clocks and 525 disease endpoints. Through functional gene mapping and Bayesian co-localization multi-omics evidence, we prioritize nine druggable genes as targets for future anti-aging treatments. Furthermore, the seven MRIBAGs are linked to future risk of systemic disease endpoints (for example, diabetes mellitus) and all-cause mortality. Finally, participants with more youthful versus more aged brain profiles exhibited distinct cognitive decline trajectories over 240 weeks of treatment with the Alzheimer’s disease drug solanezumab, although this heterogeneity cannot be fully attributed to the drug. In summary, we developed seven MRIBAGs that enhance the existing multi-organ biological aging framework, and we demonstrate their clinical potential to advance aging research. A new study combines MRI data with proteomic, metabolomic and RNA data to develop and examine seven organ-specific MRI-based aging clocks, uncovering links to overall mortality and organ-specific diseases.",2025,JournalArticle,10.1038/s41591-025-03999-8,genetic_instrument
doi:10.1097/md.0000000000047376,europepmc,Multi-omics data reveal causal associations of cellular senescence-related genes in rheumatoid arthritis: A summary-data-based Mendelian randomization and co-localization analysis.,"Rheumatoid arthritis (RA) is a complex autoimmune disease. Recently, cell senescence has been identified as a key factor in its pathogenesis. This study integrated multi-omics summary data and applied Mendelian randomization (MR) and co-localization analysis to systematically evaluate the causal relationships between cell senescence-related genes and RA. We collected summary data on blood methylation quantitative trait loci (mQTL), expression quantitative trait loci, and protein quantitative trait loci. The FinnGen database was the primary discovery dataset, validated by the UK Biobank and GWAS Catalog. We used the summary-data-based MR method to assess causal associations between the molecular traits of cell senescence-related genes and RA. Co-localization analysis was then performed to confirm shared genetic variants. After integrating multi-omics data on cell senescence-related mQTL and expression quantitative trait loci, we identified 5 key cell senescence-related genes potentially associated with RA: BCL2L1, DNMT3B, ERRFI1, NEK4, and RAF1. These genes demonstrated significant causal associations across multiple analyses. The mQTL signals based on summary-data-based MR analysis show that the genetically regulated methylation variations at the cg12873919 (odds ratio [OR] = 0.91, 95% CI [0.84-0.99]) and cg13989999 (OR = 0.90, 95% CI [0.82-1.00]) sites of the BCL2L1 gene are negatively associated with RA risk and may mediate disease risk by upregulating gene expression (OR = 0.82, 95% CI [0.76-0.88] and OR = 0.78, 95% CI [0.71-0.87]). Conversely, the mQTL effect size at the cg26432171 site of the RAF1 (OR = 1.17, 95% CI [1.02-1.33]) is positively associated with RA risk and is consistent with the upregulation of gene expression (OR = 1.83, 95% CI [1.49-2.25]), thereby enhancing RA susceptibility. Moreover, several sites in the DNMT3B gene (e.g., cg09149842) exhibited negative correlations with RA risk, suggesting that DNMT3B may play a critical role in RA pathogenesis by affecting gene expression. Methylation sites in ERRFI1 (cg13808198, cg22678073) and NEK4 (cg09524078) were also associated with RA risk, supporting their potential regulatory roles in RA. Co-localization analysis further validated the association between methylation sites and RA, particularly for BCL2L1, RAF1, DNMT3B, ERRFI1, and NEK4, where we identified shared causal signals with RA (posterior probability of H4 > 0.5). This study systematically evaluated the causal relationships between cell senescence-related genes and RA risk. These findings provide new insights into RA pathogenesis and reinforce the clinical value of these genes as potential therapeutic targets.",2026,research-article; Journal Article,10.1097/md.0000000000047376,genetic_instrument
doi:10.1101/2025.11.15.25340310,europepmc,A photoplethysmography-based aging clock reveals genetic determinants of arterial aging,"Arterial aging, marked by progressive vascular stiffening, is a contributor to cardiovascular disease. Photoplethysmography (PPG) waveforms offer an easily accessible signal of arterial function, enabling scalable assessment of arterial age at the population level. Here, we present a multimodal deep learning framework integrating raw PPG waveforms with hemodynamic features from UK Biobank participants to construct an arterial aging clock. From this model, we derived ArtAgeGap , an age-independent residual biomarker of arterial aging, which correlated with established measures of vascular stiffening, such as pulse pressure ( r =0.60). ArtAgeGap was significantly elevated in individuals with a history of cardiovascular disease, and associated with diabetes (+0.93 years, 95%CI: 0.64-1.21) and hyperlipidemia (+0.49, [0.36-0.61]). In 96,615 participants followed for a median of 13 years, higher ArtAgeGap values predicted incident hypertension, major adverse cardiovascular events, and cardiovascular and all-cause mortality (hazard ratios per +1 year: 1.01-1.06), on top of chronological age. A genome-wide association study in 114,098 individuals identified 60 independent loci associated with ArtAgeGap , including variants previously associated with blood pressure (e.g. NPR3 ), arterial stiffness ( CLCN6 ), aortic diameter ( SLC24A3 ), and atherosclerosis ( HDAC 9), as well as 34 novel loci enriched for arterial tissue expression. Integrative analyses with transcriptomic data from human arteries prioritized 28 genes, such as RSG19 and ULK4 , whose genetically proxied expression was associated with ArtAgeGap . Single-cell transcriptomic data from arterial tissue revealed strong enrichment of these genes in fibroblasts, implicating fibrotic remodeling mechanisms in arterial aging. Rare variant burden testing further implicated damaging variants in COL21A1 , LMNA , TP53BP2 , RXRB , and FLOT2 , also converging to mechanisms related to extracellular matrix organization and fibrosis regulation. Lastly, Mendelian randomization analysis identified ArtAgeGap as an intermediate biomarker in-between vascular risk factors and outcomes, with central adiposity, higher blood pressure, and type 2 diabetes increasing ArtAgeGap , and higher ArtAgeGap elevating the risks of coronary heart disease and stroke. Together, these findings establish ArtAgeGap as a scalable PPG-based biomarker of arterial aging and provide mechanistic insights into potential therapeutic strategies to mitigate arterial aging.",2025,Preprint,10.1101/2025.11.15.25340310,genetic_instrument
doi:10.1186/s12864-026-12546-9,pubmed,Transcriptome analysis reveals KRAS as a crucial regulator of ovarian follicle development in Wuding chickens.,"BACKGROUND: This study investigated the molecular basis of follicular development and egg production in Wuding chickens, an indigenous Chinese breed known for exceptional meat quality and nutrient-rich eggs, but suboptimal egg-laying performance, by comparing them with high-yielding Jingfen No.1 chickens. RESULTS: High-throughput transcriptome sequencing of ovarian tissues identified 6,790 differentially expressed genes (DEGs). Gene Ontology (GO) and Kyoto Encyclopedia of Genes and Genomes (KEGG) enrichment analyses revealed these DEGs were significantly implicated in reproductive pathways, including steroid biosynthesis, cell cycle, MAPK signaling, calcium signaling, oocyte meiosis, and progesterone-mediated oocyte maturation. A protein–protein interaction (PPI) network highlighted Kirsten rat sarcoma viral oncogene (KRAS) as a crucial hub gene. Further functional experiments focused on the role of KRAS in chicken ovarian granulosa cells (GCs). Overexpression of KRAS significantly enhanced the production of progesterone (P4) and estradiol (E2) and upregulated the expression of steroidogenic genes (e.g., STAR, CYP19A1, HSD3B1, PTGS2). KRAS also promoted GC proliferation by increasing cell viability, stimulating DNA synthesis, and upregulating proliferation markers (AKT1, mTOR, JAK2, STAT3, PCNA). Additionally, KRAS facilitated cell cycle progression by reducing the G0/G1 phase population and increasing the S phase, alongside upregulating cell cycle regulators (CCND1, CCND2, CCNE2, CDK2). Importantly, KRAS inhibited GC apoptosis by increasing antiapoptotic genes (BCL2, TGF-β) and decreasing proapoptotic genes (Caspase 3, BAX). Finally, KRAS delayed cellular senescence by reducing SA-β-gal activity and reciprocally regulating P21 (downregulation) and SIRT1 (upregulation). CONCLUSIONS: Collectively, these findings demonstrate that KRAS is a pivotal regulator of follicular development in Wuding chickens, influencing GC proliferation, apoptosis, steroid hormone synthesis, and senescence. This research provides valuable insights for genetic improvement programs aimed at enhancing egg production in indigenous chicken breeds.",2026,Journal Article,10.1186/s12864-026-12546-9,direct_perturbation
doi:10.1242/dmm.052935,europepmc,UBA1 knockdown dysregulates the levels of UBA1-sensitive proteins and impairs muscle function in Drosophila and mice.,"UBA1 is the primary ubiquitin-activating enzyme that initiates ubiquitination, which regulates protein function and turnover. While UBA1 loss is cell lethal, silent mutations that reduce UBA1 mRNA levels cause spinal muscular atrophy X-linked 2 (SMAX2), a disorder marked by skeletal muscle weakness and wasting. However, it remains unexplored how UBA1 impacts the muscle proteome, and whether muscle weakness can arise from reducing UBA1 function solely in skeletal muscle. Here, we examined Drosophila and mice with muscle-targeted UBA1 knockdown and found that this intervention reduces protein ubiquitination, muscle function, and lifespan. Integrated transcriptomic and proteomic analyses indicate that a limited set of proteins is modulated post-transcriptionally by UBA1RNAi, suggesting that these UBA1-sensitive proteins may rely on optimal UBA1 levels for degradation (UBA1RNAi-upregulated proteins) and stability (UBA1RNAi-downregulated proteins). Therefore, despite its general function in ubiquitination, UBA1 knockdown alters the levels of relatively few critical proteins, which may contribute to muscle weakness and SMAX2 pathogenesis. Moreover, although SMAX2-linked UBA1 mutations occur ubiquitously, experimental reduction of UBA1 function solely in skeletal muscle recapitulates key disease aspects, highlighting a possible muscle-centric origin of SMAX2.",2026,Journal Article,10.1242/dmm.052935,direct_perturbation
doi:10.21203/rs.3.rs-7771199/v1,europepmc,Reproductive aging causes precocious ZGA and morula gene expression and chromatin hyper-activation in rhesus monkey embryos via maternal SETDB1 insufficiency,"Abstract Maternal aging impairs embryo development. However, little is known regarding the molecular defects in aged human embryos. Combining single-cell RNA sequencing and ATAC-seq, we investigated aging-associated changes in the transcriptome and chromatin accessibility in fully grown GV oocytes, mature eggs, 4C, 8C, and morula embryos from young, middle-aged and old rhesus monkeys. We reveal that impaired maternal mRNA stability is a major RNA metabolism defect in aged oocytes. Unlike mice, aged monkey embryos display precocious expression of stage-specific genes including zygotic genome activation (ZGA) and morula-stage genes. Consistently, promoters and distal regulatory regions that show stage-specific accessibility changes in young embryos lose this dynamic regulation and become constitutively accessible in old embryos. Mechanistically, aged monkey embryos have reduced maternal transcripts of SETDB1 . Knockdown of SETDB1 in young monkey zygotes recapitulates aging-associated phenotypes. Thus, maternal SETDB1 insufficiency is a major factor contributing to developmental and molecular defects in aged embryos.",2026,Preprint,10.21203/rs.3.rs-7771199/v1,direct_perturbation
doi:10.64898/2026.02.01.26345311,europepmc,In Silico Network Perturbation Reveals Hierarchical Roles of DNA Repair and Glycosylation Linking Exercise to Human Ageing Clocks,"Regular physical activity delays biological ageing, yet how transient exercise-induced molecular responses are translated into stable ageing signatures in humans remains unclear. Here, we introduce the first in silico perturbation framework for human exercise biology that integrates genetically anchored gene prioritisation, graph-based network modelling, and human experimental validation. Genes causally associated with habitual vigorous physical activity (VPA) were prioritised using Mendelian randomisation (MR) across proteomic, epigenomic, glycomic, and single-cell transcriptomic layers and represented using self-supervised graph learning. Targeted acute in silico perturbations were then propagated via network diffusion within a network shaped by genetically proxied habitual VPA to forecast downstream alignment with epigenetic and proteomic ageing clocks. Perturbation of validated glycosylation enzymes consistently yielded diffusion neighbourhoods enriched for clock-associated genes (empirical p Abstract Figure Graphical Abstract In silico perturbation framework linking habitual physical activity to ageing-related molecular architecture. Genetically proxied habitual vigorous physical activity (VPA) is integrated with multi-omic Mendelian randomisation (MR) across epigenomic, transcriptomic, proteomic, and glycomic layers to construct a causal, exercise-adapted molecular network. Within this network, targeted acute in silico gene perturbations are propagated by network diffusion and evaluated for alignment with epigenetic and proteomic ageing clocks as external annotations. A controlled human high-intensity exercise intervention provides experimental validation, demonstrating acute activation of DNA repair programmes alongside rapid modulation of plasma glycosylation.",2026,Preprint,10.64898/2026.02.01.26345311,genetic_instrument
